Time(us),Value
70,0
46,0
40,0
42,0
43,0
40,0
36,0
39,0
41,0
44,0
62,0
64,0
64,0
65,0
38,0
37,0
37,0
37,0
37,0
38,0
289,0
286,0
283,-0
289,0
391,0
413,-0
412,0
412,0
413,0
392,0
25,0
27,0
23,0
16,0
14,0
14,0
14,0
14,0
14,0
14,0
282,0
280,0
291,0
404,0
308,0
283,0
284,0
281,0
282,0
307,0
5975,0
5534,0
5100,-0
4713,0
4639,0
4710,-0
4504,-0
4544,0
4633,0
4565,-0
201,0
197,0
200,0
197,0
197,0
197,0
197,0
199,0
198,0
197,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
362,0
368,0
380,0
431,0
607,0
546,0
428,0
491,0
608,0
590,0
58,0
54,0
54,0
56,0
57,0
57,0
57,0
59,0
60,0
58,0
90,1
63,2
64,3
62,4
62,5
61,6
61,7
62,8
62,9
61,10
33,-0
33,-0
33,-0
33,-0
33,-0
33,-0
33,-0
34,-0
33,-0
33,-0
11,0.841471
11,0.909297
17,0.14112
12,-0.756802
11,-0.958924
11,-0.279415
11,0.656987
11,0.989358
11,0.412118
11,-0.544021
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,1
14,4
14,9
14,16
14,25
14,36
14,49
14,64
14,81
14,100
17,-2
17,-2
17,-2
17,-2
16,-2
17,-2
16,-2
17,-2
16,-2
16,-2
31,1
31,1
31,1
38,1
39,1
32,1
64,1
45,1
63,1
64,1
648,1
490,0
485,3
495,0
487,-0.958924
502,-0.279415
489,0.656987
494,0
492,9
488,-0.544021
9,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
181,-1.15853
181,-1.0907
185,-1.85888
180,-2.7568
180,-2.95892
180,-2.27942
179,-1.34301
184,-1.01064
180,-1.58788
179,-2.54402
887,0
888,0
900,0
904,0
894,0
891,0
875,0
879,0
969,0
917,0
55,-1
54,-1
54,-1
60,-1
55,-1
54,-1
54,-1
54,-1
54,-1
67,-1
14,-0
14,-0
14,-0
14,-0
14,-0
14,-0
14,-0
14,-0
14,-0
14,-0
3944,0
3952,0
3957,0
3982,0
3960,0
3927,0
3932,0
3979,0
4057,0
3945,0
785,0
773,0
774,0
774,0
772,0
774,0
773,0
773,0
769,0
776,0
765,1
767,1
764,1
760,1
767,1
763,1
765,1
766,1
861,1
770,1
17,0
17,0
17,0
17,0
17,0
16,0
17,0
16,0
17,0
17,0
91,0
108,0
89,0
95,0
109,0
93,0
73,0
73,0
52,0
73,0
141,1
141,2
140,3
140,4
140,5
111,6
141,7
141,8
142,9
111,10
118,0
112,0
115,0
111,0
112,0
111,0
112,0
112,0
112,0
112,0
40,1
41,2
40,3
40,4
40,5
40,6
40,7
40,8
40,9
40,10
199,1
198,2
205,3
199,4
200,5
199,6
203,7
199,8
198,9
198,9.15853
18,1
17,2
17,3
17,4
21,5
18,6
18,7
18,8
17,9
21,10
46,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,0
44,-1
2624,1
1582,-2
1860,1
1603,-4
1543,-5
1635,1
1598,-7
1601,-8
1593,1
1546,1
9,1
9,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
63,0
108,0
105,0
104,0
104,0
106,0
104,0
104,0
104,0
104,0
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
7564,0
7378,0
7419,0
7396,0
7413,0
7387,0
7500,0
7466,0
7730,0
7444,0
168,1.74562
164,0.842134
163,0.842134
162,0.842134
163,0.842134
164,0.842134
162,1.74562
163,0.842134
162,0.842134
163,0.842134
14,0.745624
14,0.789072
14,0.140652
14,-0.6866
14,-0.818574
13,-0.275794
13,0.610734
15,0.835674
14,0.400551
14,-0.517581
227,0
227,0
227,0
228,0
227,0
226,0
229,0
228,0
227,0
226,0
321,0
322,0
321,0
323,0
323,0
458,0
324,0
351,0
327,0
331,0
1002,-0
993,-0
999,-0
994,-0
1268,-0
1070,-0
1008,-0
991,-0
991,-0
990,-0
2353,0
2395,0
2384,0
2624,0
2478,0
2361,0
2361,0
2383,0
2510,0
2426,0
80,1
77,1
76,1
76,1
75,1
76,1
77,1
76,1
76,1
76,1
55,-0
55,-0
55,-0
55,-0
55,-0
55,-0
55,-0
55,-0
55,-0
57,-0
1632,-1
1643,-0
1655,-0
1807,-0
1678,-0
1658,-0
1676,-0
1632,-1
1647,-9
1693,-1
126,-0.745624
123,-0.909297
122,-0
124,-0
122,-0
125,-0
125,-0
122,-0
121,-0
122,0.517581
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
183,1
184,1
183,1
183,1
182,1
185,1
185,1
185,1
183,1
183,1
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
145,1
138,2
138,3
137,4
145,5
144,6
144,7
139,8
138,9
144,10
11,-1
11,-2
11,-3
11,-4
11,-5
11,-6
11,-7
11,-8
11,-9
11,-10
113,0
114,0
112,0
113,0
113,0
112,0
113,0
112,0
112,0
114,0
17,0.841471
18,0.909297
19,0.14112
18,-0.756802
17,-0.958924
17,-0.279415
17,0.656987
17,0.989358
17,0.412118
17,-0.544021
142,0
148,0
148,0
151,0
164,0
151,0
150,0
150,0
151,0
126,0
261,0.841471
261,-0.756802
261,0.412118
267,-0.287903
263,-0.132352
262,-0.991779
333,-0.953753
416,0.920026
275,-0.629888
371,-0.506366
46,0
45,0
45,0
44,0
45,0
45,0
44,0
50,0
45,0
44,0
156,0
130,0
130,0
130,0
131,0
131,0
133,0
132,0
131,0
131,0
1306,0
1301,0
1293,0
1374,0
1293,0
1293,0
1347,0
1643,0
1534,0
2015,0
20,1
16,2
15,3
15,4
15,5
17,6
17,7
17,8
14,9
11,10
14,1
9,2
8,3
8,4
8,5
9,6
8,7
8,8
8,9
8,10
8,1
8,2
8,3
132,4
8,5
8,6
8,7
8,8
8,9
8,10
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
9,2
8,3
8,4
8,5
8,6
8,7
9,8
8,9
9,10
30,-0.841471
27,-0.909297
27,-0.14112
27,0.756802
27,0.958924
27,0.279415
27,-0.656987
27,-0.989358
27,-0.412118
27,0.544021
1141,0
1387,0
1151,0
1191,0
1126,0
1128,0
1139,0
1162,0
1369,0
1766,0
265,0
263,0
265,0
262,0
264,0
266,0
263,0
265,0
267,0
266,0
69,0.886744
70,-0.0111784
69,-0.2133
69,0.466209
70,1.40261
70,1.73498
70,1.15774
70,0.201603
69,-0.254366
71,0.209051
40,0
39,0
39,-0.841471
39,0
39,0
39,-0.841471
40,0
40,0
40,-0.841471
40,0
26,3
26,5
26,7
26,9
25,11
26,13
25,15
26,17
26,19
25,21
27,0.745624
26,0.969455
25,0.410826
25,-0.114133
25,0.996621
25,-0.994419
25,-0.993568
25,0.998147
25,-0.537503
25,0.746625
46,-0
46,-0
46,-0
46,-0
46,1
47,-0
46,-0
46,-0
46,-0
46,1
133,0
133,0
133,0.745624
133,0
132,0
133,0.745624
134,0
132,0
133,0.745624
133,0
8,1
9,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
9,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
144,1
96,-1
96,0
96,0
96,0
96,0
97,-1
96,-1
96,0
96,0
966,-0
955,-0
949,-0
984,-0
959,-0
961,-0
951,-0
959,-0
971,-0
921,-0
229,1
225,2
227,3
219,4
218,5
216,6
224,7
223,8
222,9
217,10
275,0
273,0
254,0
256,0
255,0
251,0
274,0
275,0
254,0
252,0
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
94,0.984757
95,1.84317
94,2.9617
95,3.09785
93,4.55349
94,0.033484
94,0.0450255
94,7.28054
93,-4.60794
94,9.84582
11,0.841471
11,0.909297
13,0.14112
11,-0.756802
11,-0.958924
11,-0.279415
11,0.656987
11,0.989358
11,0.412118
11,-0.544021
73,0
73,0
73,0
74,0
73,0
73,0
73,0
73,0
74,0
75,0
18,0.841471
18,0.841471
17,0.841471
17,0.841471
17,0.841471
17,0.841471
17,0.841471
17,0.841471
17,0.841471
18,0.841471
8,1
8,1
9,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
32,-0.745624
32,-0.745624
33,-0.745624
32,-0.745624
32,-0.745624
32,-0.745624
34,-0.745624
33,-0.745624
32,-0.745624
32,-0.745624
9,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
940,0
940,0
940,0
943,0
922,0
945,0
950,0
954,0
952,0
923,0
263,-0
263,-0
262,-0
262,-0
261,0
260,0
259,-0
263,-0
262,-0
260,-0
11,0.841471
11,0.909297
11,0.14112
11,-0.756802
11,-0.958924
13,-0.279415
17,0.656987
11,0.989358
11,0.412118
11,-0.544021
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
986,0
971,1
970,-1
975,0
977,-5
983,-6
991,0
982,0
983,-9
973,100
12,0.841471
11,0.909297
11,0.14112
11,-0.756802
11,-0.958924
11,-0.279415
13,0.656987
11,0.989358
